accesses get set
58458113 1.478993129e-06 9.670045398e-06
58720257 1.47968551e-06 9.686676689e-06
58982401 1.480311499e-06 9.707399664e-06
59244545 1.480904131e-06 9.722515223e-06
59506689 1.481607311e-06 9.742768745e-06
59768833 1.482113219e-06 9.761870634e-06
60030977 1.482633965e-06 9.775118465e-06
60293121 1.483178744e-06 9.794608173e-06
60555265 1.483721101e-06 9.808226333e-06
60817409 1.484245629e-06 9.826796448e-06
61079553 1.48474126e-06 9.840097516e-06
61341697 1.485228579e-06 9.860086326e-06
61603841 1.485729736e-06 9.87405798e-06
61865985 1.486217805e-06 9.891708971e-06
62128129 1.486772673e-06 9.90484978e-06
62390273 1.48728946e-06 9.918813769e-06
62652417 1.487770224e-06 9.937412468e-06
62914561 1.48826917e-06 9.951882139e-06
63176705 1.488800571e-06 9.964823837e-06
63438849 1.489277894e-06 9.98315551e-06
63700993 1.489749107e-06 1.000350101e-05
63963137 1.490212659e-06 1.001826346e-05
64225281 1.490720242e-06 1.003332533e-05
64487425 1.49124437e-06 1.005225256e-05
64749569 1.491702384e-06 1.006463348e-05
65011713 1.492160643e-06 1.008137409e-05
65273857 1.49261879e-06 1.00934876e-05
65536001 1.493065658e-06 1.011114247e-05
65798145 1.493400983e-06 1.012704062e-05
66060289 1.493649951e-06 1.013865546e-05
66322433 1.493774444e-06 1.015439259e-05
66584577 1.493880399e-06 1.016505391e-05
66846721 1.494003953e-06 1.01831426e-05
67108865 1.494122236e-06 1.019766118e-05
67371009 1.494224132e-06 1.021350797e-05
67633153 1.494460275e-06 1.022886368e-05
67895297 1.494561198e-06 1.024023367e-05
68157441 1.494660744e-06 1.025712731e-05
68419585 1.494747366e-06 1.026793976e-05
68681729 1.494830604e-06 1.028371311e-05
68943873 1.494926031e-06 1.029899739e-05
69206017 1.495011835e-06 1.031038742e-05
69468161 1.495078176e-06 1.032475901e-05
69730305 1.495165731e-06 1.034120022e-05
69992449 1.495250415e-06 1.035110221e-05
70254593 1.495316078e-06 1.036532675e-05
70516737 1.495409188e-06 1.03811152e-05
70778881 1.495494799e-06 1.039152774e-05
71041025 1.495565055e-06 1.040581906e-05
71303169 1.495624051e-06 1.041876549e-05
71565313 1.495689517e-06 1.042909561e-05
71827457 1.495776739e-06 1.044184576e-05
72089601 1.495835127e-06 1.045517038e-05
72351745 1.495912883e-06 1.046565159e-05
72613889 1.495988962e-06 1.047860547e-05
72876033 1.496051225e-06 1.049125439e-05
73138177 1.496130529e-06 1.049950068e-05
73400321 1.496195424e-06 1.051227636e-05
73662465 1.496270257e-06 1.052523199e-05
73924609 1.496441631e-06 1.053335789e-05
74186753 1.496504914e-06 1.054735812e-05
74448897 1.49655745e-06 1.056148709e-05
74711041 1.496635985e-06 1.05698189e-05
74973185 1.496695191e-06 1.058205895e-05
75235329 1.496763727e-06 1.059075641e-05
75497473 1.49681221e-06 1.060351529e-05
75759617 1.496857705e-06 1.061206547e-05
76021761 1.496912475e-06 1.062416579e-05
76283905 1.496966463e-06 1.063207825e-05
76546049 1.497044758e-06 1.064367887e-05
76808193 1.497117442e-06 1.065237949e-05
77070337 1.497189826e-06 1.066476028e-05
77332481 1.497239412e-06 1.067364741e-05
77594625 1.497299425e-06 1.068718334e-05
77856769 1.497344173e-06 1.069589011e-05
78118913 1.497395303e-06 1.070882108e-05
78381057 1.497459742e-06 1.071666883e-05
78643201 1.497507056e-06 1.072865178e-05
78905345 1.497563877e-06 1.073713413e-05
79167489 1.497612062e-06 1.074953985e-05
79429633 1.497658429e-06 1.075873882e-05
79691777 1.497706387e-06 1.077099313e-05
79953921 1.497759896e-06 1.077900043e-05
80216065 1.497804391e-06 1.079066254e-05
80478209 1.49787095e-06 1.079962171e-05
80740353 1.497911737e-06 1.081100579e-05
81002497 1.497951556e-06 1.081918164e-05
81264641 1.497993714e-06 1.083093978e-05
