time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items misses miss_rate shq_size AET_ht_size 
5900002 2 normal 800000000 0 800000000 400000000 50 65536 352930567 2.26673 1261338 2950001 0 0 0 0 0 0.427572 -1 1688663 1688663 0.572428 0 0 
5900002 1 normal 800000000 0 800000000 400000000 50 65536 503121311 1.59007 542721 2950000 0 0 0 0 0 0.183973 -1 2407279 2407279 0.816027 0 0 
6000002 2 normal 800000000 0 800000000 400000000 50 65536 356101097 2.24655 1296168 3000001 0 0 0 0 0 0.432056 0.66948 1703833 1703833 0.567944 0 0 
6000002 1 normal 800000000 0 800000000 400000000 50 65536 509949550 1.56878 560050 3000000 0 0 0 0 0 0.186683 0.324074 2439950 2439950 0.813317 0 0 
6100002 2 normal 800000000 0 800000000 400000000 50 65536 359238605 2.22693 1331156 3050001 0 0 0 0 0 0.436444 -1 1718845 1718845 0.563556 0 0 
6100002 1 normal 800000000 0 800000000 400000000 50 65536 516764622 1.54809 577442 3050000 0 0 0 0 0 0.189325 -1 2472558 2472558 0.810675 0 0 
6200002 2 normal 800000000 0 800000000 400000000 50 65536 362351033 2.2078 1366264 3100001 0 0 0 0 0 0.44073 -1 1733737 1733737 0.55927 0 0 
6200002 1 normal 800000000 0 800000000 400000000 50 65536 523547090 1.52804 594990 3100000 0 0 0 0 0 0.191932 -1 2505010 2505010 0.808068 0 0 
6300002 2 normal 800000000 0 800000000 400000000 50 65536 365401388 2.18937 1401669 3150001 0 0 0 0 0 0.444974 -1 1748332 1748332 0.555026 0 0 
6300002 1 normal 800000000 0 800000000 400000000 50 65536 530216907 1.50882 613077 3150000 0 0 0 0 0 0.194628 -1 2536923 2536923 0.805372 0 0 
6400002 2 normal 800000000 0 800000000 400000000 50 65536 368379220 2.17168 1437421 3200001 0 0 0 0 0 0.449194 -1 1762580 1762580 0.550806 0 0 
6400002 1 normal 800000000 0 800000000 400000000 50 65536 536845760 1.49019 631360 3200000 0 0 0 0 0 0.1973 -1 2568640 2568640 0.8027 0 0 
6500002 2 normal 800000000 0 800000000 400000000 50 65536 371337197 2.15438 1473268 3250001 0 0 0 0 0 0.453313 -1 1776733 1776733 0.546687 0 0 
6500002 1 normal 800000000 0 800000000 400000000 50 65536 543439501 1.4721 649811 3250000 0 0 0 0 0 0.199942 -1 2600189 2600189 0.800058 0 0 
6600002 2 normal 800000000 0 800000000 400000000 50 65536 374206767 2.13786 1509538 3300001 0 0 0 0 0 0.457436 -1 1790463 1790463 0.542564 0 0 
6600002 1 normal 800000000 0 800000000 400000000 50 65536 549993950 1.45456 668450 3300000 0 0 0 0 0 0.202561 -1 2631550 2631550 0.797439 0 0 
6700002 2 normal 800000000 0 800000000 400000000 50 65536 377069858 2.12162 1545839 3350001 0 0 0 0 0 0.461444 -1 1804162 1804162 0.538556 0 0 
6700002 1 normal 800000000 0 800000000 400000000 50 65536 556459783 1.43766 687513 3350000 0 0 0 0 0 0.205228 -1 2662487 2662487 0.794772 0 0 
6800002 2 normal 800000000 0 800000000 400000000 50 65536 379892612 2.10586 1582333 3400001 0 0 0 0 0 0.465392 -1 1817668 1817668 0.534608 0 0 
6800002 1 normal 800000000 0 800000000 400000000 50 65536 562884652 1.42125 706772 3400000 0 0 0 0 0 0.207874 -1 2693228 2693228 0.792126 0 0 
6900002 2 normal 800000000 0 800000000 400000000 50 65536 382665624 2.0906 1619065 3450001 0 0 0 0 0 0.469294 -1 1830936 1830936 0.530706 0 0 
6900002 1 normal 800000000 0 800000000 400000000 50 65536 569304714 1.40522 726054 3450000 0 0 0 0 0 0.21045 -1 2723946 2723946 0.78955 0 0 
7000002 2 normal 800000000 0 800000000 400000000 50 65536 385398090 2.07578 1655991 3500001 0 0 0 0 0 0.47314 0.719646 1844010 1844010 0.52686 0 0 
